No.,Model,-LnL,df,AIC,AICc,BIC
70,Dayhoff+F+R2,9976.743,264,20481.485,21114.608,21586.645
71,Dayhoff+F+R3,9914.392,266,20360.785,21009.388,21474.316
72,Dayhoff+F+R4,9902.391,268,20340.782,21005.225,21462.686
73,Dayhoff+F+R5,9895.502,270,20331.005,21011.656,21461.281
74,Dayhoff+F+R6,9891.282,272,20326.564,21023.803,21465.212
79,DCMut,10628.545,243,21743.089,22233.106,22760.338
80,DCMut+I,10185.854,244,20859.708,21355.807,21881.143
81,DCMut+G4,9899.238,244,20286.476,20782.576,21307.911
82,DCMut+I+G4,9886.595,245,20263.190,20765.440,21288.811
83,DCMut+R2,9956.929,245,20403.857,20906.107,21429.478
84,DCMut+R3,9893.803,247,20281.605,20796.362,21315.599
85,DCMut+R4,9882.553,249,20263.105,20790.647,21305.471
86,DCMut+R5,9875.845,251,20253.690,20794.305,21304.428
87,DCMut+R6,9871.621,253,20249.242,20803.225,21308.353
92,DCMut+F,10631.316,262,21786.633,22404.624,22883.420
93,DCMut+F+I,10202.552,263,20931.103,21556.617,22032.076
94,DCMut+F+G4,9919.113,263,20364.227,20989.740,21465.200
95,DCMut+F+I+G4,9908.551,264,20345.102,20978.224,21450.261
96,DCMut+F+R2,9977.092,264,20482.185,21115.307,21587.344
97,DCMut+F+R3,9914.854,266,20361.707,21010.310,21475.239
98,DCMut+F+R4,9902.874,268,20341.749,21006.191,21463.653
