"","Cmean","pval","I","pval.1","Lambda","pval.2","K","pval.3","K.star","pval.4"
"47",0.897313025308532,0.001,0.447653582707241,0.001,1.0131398587633,0.001,1.36021466585789,0.001,2.1017705921819,0.001
"48",0.789023082599169,0.001,0.317635217721674,0.001,1.00115983614557,0.001,2.26396756814871,0.001,1.12958134971542,0.001
"49",0.877965170360652,0.001,0.297220056962057,0.001,1.00396441845413,0.001,5.28220093596807,0.001,1.98970023587788,0.001
"50",0.699733666018461,0.001,0.5576966137949,0.001,1.00662521974774,0.001,0.318329466079111,0.001,0.588838374840345,0.001
"51",0.58559695902566,0.001,0.256693026207244,0.001,1.00335691494123,0.001,0.120362089576618,0.001,0.38404545012479,0.001
"52",0.817272608944171,0.001,0.456892614069973,0.001,1.00259273744838,0.001,0.885823160549125,0.001,1.40038354913784,0.001
"53",0.747716337825264,0.001,0.37611352459506,0.001,1.00001931107509,0.001,0.410729541397001,0.001,0.662721199798711,0.001
"54",0.821883032546877,0.001,0.505956144609971,0.001,1.00709078642827,0.001,0.786697504962225,0.001,1.23108757978646,0.001
"55",0.695921224114076,0.001,0.280020612835556,0.001,1.00158319104331,0.001,0.27385431698361,0.001,0.609015999802287,0.001
"56",0.715162264010867,0.001,0.418999838458586,0.001,1.00617683197878,0.001,0.261497011736726,0.001,0.674710529643548,0.001
"57",0.748179139989683,0.001,0.349748155685839,0.001,1.00037252830319,0.001,0.330108678985179,0.001,0.784048075575529,0.001
"58",0.74593329487469,0.001,0.494999601204488,0.001,1.01130248563933,0.001,0.995403267286947,0.001,0.679581059124706,0.001
"59",0.724117958280159,0.001,0.346426580732204,0.001,1.00001855015784,0.001,0.21424737615455,0.001,0.591567252754975,0.001
"60",0.775883949248815,0.001,0.361053619119366,0.001,1.01113570560033,0.001,1.55089811579476,0.001,1.07344966327888,0.001
"61",0.75712363951116,0.001,0.423579843566769,0.001,0.999997887291025,0.001,0.743582924332975,0.001,1.06465313274201,0.001
"62",0.579527539142645,0.001,0.411645331302349,0.001,1.0085674168311,0.001,0.13112387989884,0.001,0.375136489957297,0.001
"63",0.678113865174543,0.001,0.342073319235738,0.001,1.00496774748933,0.001,0.23339047066172,0.001,0.595902141946272,0.001
"64",0.733048471827066,0.001,0.479447623532247,0.001,1.00697778209831,0.001,0.260909610590798,0.001,0.856613015987495,0.001
"65",0.838958154818879,0.001,0.425515647815975,0.001,1.00968943744153,0.001,0.98253936973131,0.001,1.06651642823636,0.001
"66",0.621288309237086,0.001,0.232576486797454,0.001,1.00744939330102,0.001,0.763475445898859,0.001,0.64580041967232,0.001
"67",0.708516976974271,0.001,0.442583678802699,0.001,1.00708606589403,0.001,0.651690869683246,0.001,0.614845105942103,0.001
"68",0.734102335539361,0.001,0.303150949979278,0.001,1.01024160047411,0.001,0.818104262628985,0.001,0.697705480734143,0.001
"69",0.846678717332247,0.001,0.520830257536835,0.001,1.00792455828752,0.001,0.352400508213244,0.001,0.850142380755677,0.001
"70",0.842877392613796,0.001,0.541870113527638,0.001,1.01155707014878,0.001,0.756985395368671,0.001,1.38821594781009,0.001
"71",0.729282294683352,0.001,0.285409290888352,0.001,1.01244037134772,0.001,0.365302640892467,0.001,0.795353195622567,0.001
"72",0.725222304710263,0.001,0.277129269138812,0.001,1.00495437368779,0.001,1.59756948146577,0.001,0.893876924441,0.001
"73",0.919467457705225,0.001,0.57401549412859,0.001,1.00000370367286,0.001,1.86300121067089,0.001,2.14664486732636,0.001
"74",0.902179470488409,0.001,0.458773237149641,0.001,1.00893923578026,0.001,6.32925210516092,0.001,3.16831014213277,0.001
"75",0.829156309258864,0.001,0.337181604198157,0.001,1.00307132928385,0.001,1.67794483773548,0.001,1.14912031357406,0.001
"76",0.554894796494998,0.001,0.254008328968042,0.001,1.00460560019418,0.001,0.147455059285877,0.001,0.473547002956816,0.001
"77",0.844069853816546,0.001,0.355509167703112,0.001,1.00313140810347,0.001,1.94001024019225,0.001,1.47929448941442,0.001
"78",0.628949445011836,0.001,0.378975005637753,0.001,1.002934908958,0.001,0.139966953141977,0.001,0.457577118736683,0.001
"79",0.710270942864815,0.001,0.26037453012458,0.001,1.01842420817725,0.001,0.756615307644175,0.001,0.645440872199254,0.001
"80",0.791162712019121,0.001,0.369325571560567,0.001,1.0178863475304,0.001,1.37674623933362,0.001,0.973757016531574,0.001
"81",0.824526660555926,0.001,0.439901902240319,0.001,1.00891337072313,0.001,2.05040108789589,0.001,1.13143541980888,0.001
"82",0.682583542669989,0.001,0.349298356767286,0.001,1.01258100007893,0.001,0.276530956170672,0.001,0.619329971643731,0.001
"83",0.603879280149309,0.001,0.354629464246328,0.001,1.00560545932358,0.001,0.24158857121977,0.001,0.467108730371671,0.001
"84",0.72504044413832,0.001,0.245663491614584,0.002,1.00251333826634,0.001,1.17376730518292,0.001,0.798615258339772,0.001
"85",0.885993450031298,0.001,0.459877988707843,0.001,1.00179971338223,0.001,2.91822286749292,0.001,1.69291677590223,0.001
"86",0.78535228540982,0.001,0.287391939969244,0.001,1.00520008837986,0.001,0.722869243102127,0.001,0.721136235307495,0.001
"87",0.722427005279791,0.001,0.474617314728145,0.001,1.00857416580867,0.001,0.661179745415059,0.001,0.936046938563268,0.001
"88",0.719904733861157,0.001,0.319576282592738,0.001,1.00301513367433,0.001,0.25310979050667,0.001,0.517613785152975,0.001
"89",0.571144205366877,0.001,0.254918526071633,0.001,1.00948171870446,0.001,0.490885421321234,0.001,0.437221236314953,0.001
