"taxa","Group","Species","Combined","TaxID"
"1982072_QBK36602_rbcL","Cupressales","Taxus florinii","Cupressales | Taxus florinii",1982072
"46220_QBK36356_rbcL","Cupressales","Taxus brevifolia","Cupressales | Taxus brevifolia",46220
"147282_AFZ65553_rbcL","Cupressales","Cephalotaxus oliveri","Cupressales | Cephalotaxus oliveri",147282
"89484_AXI98084_rbcL","Cupressales","Cephalotaxus sinensis","Cupressales | Cephalotaxus sinensis",89484
"3349_ALK01248_rbcL","Pinales","Pinus sylvestris","Pinales | Pinus sylvestris",3349
"58042_ABD04207_rbcL","Pinales","Pinus nigra","Pinales | Pinus nigra",58042
"71633_AET48331_rbcL","Pinales","Pinus halepensis","Pinales | Pinus halepensis",71633
"3329_CAA53209_rbcL","Pinales","Picea abies","Pinales | Picea abies",3329
"3331_AAM49707_rbcL","Pinales","Picea pungens","Pinales | Picea pungens",3331
"58033_AAP87764_rbcL","Cycadales","Dioon edule","Cycadales | Dioon edule",58033
"115877_BAR93643_rbcL","Cycadales","Dioon spinulosum","Cycadales | Dioon spinulosum",115877
"182487_AAP87765_rbcL","Cycadales","Dioon tomasellii","Cycadales | Dioon tomasellii",182487
"114456_AAP87766_rbcL","Cycadales","Macrozamia communis","Cycadales | Macrozamia communis",114456
"707766_AFS64400_rbcL","Cycadales","Macrozamia mountperriensis","Cycadales | Macrozamia mountperriensis",707766
"13644_AAA92924_rbcL","Poales","Prionium serratum","Poales | Prionium serratum",13644
"306637_AAX18751_rbcL","Poales","Trilepis lhotzkiana","Poales | Trilepis lhotzkiana",306637
"306635_AAX18750_rbcL","Poales","Cyperus hyalinus","Poales | Cyperus hyalinus",306635
"72643_CAC17827_rbcL","Commelinales","Anigozanthos flavidus","Commelinales | Anigozanthos flavidus",72643
"114198_CAB71925_rbcL","Commelinales","Anigozanthos manglesii","Commelinales | Anigozanthos manglesii",114198
"66636_AAY19314_rbcL","Zygophyllales","Larrea tridentata","Zygophyllales | Larrea tridentata",66636
"66627_CAA75248_rbcL","Zygophyllales","Bulnesia arborea","Zygophyllales | Bulnesia arborea",66627
"45189_CAB62905_rbcL","Zygophyllales","Guaiacum sanctum","Zygophyllales | Guaiacum sanctum",45189
"151847_AAK70983_rbcL","Malphigialles","Malpighia emarginata","Malphigialles | Malpighia emarginata",151847
"29755_CAB85661_rbcL","Malphigialles","Malpighia coccigera","Malphigialles | Malpighia coccigera",29755
"3258_AAA57239_rbcL","Equisetales","Equisetum arvense","Equisetales | Equisetum arvense",3258
"3262_AGC26636_rbcL","Equisetales","Equisetum hyemale","Equisetales | Equisetum hyemale",3262
"1481379_QAV57667_rbcL","Hymenophyllales","Trichomanes trollii","Hymenophyllales | Trichomanes trollii",1481379
"58829_BAC67011_rbcL","Hymenophyllales","Trichomanes elegans","Hymenophyllales | Trichomanes elegans",58829
