no,Model,lnL,AIC,AICc,BIC,Cmean,pC,I,pI,Lambda,pL,K,pK,Kstar,pKs
54,Blosum62+I,11282.291,23048.582,23555.531,24056.105,0.690173182,0.001,0.382747275,0.001,1.002387329,0.001,0.549452743,0.001,0.602441487,0.001
55,JTT+F+G4,11256.368,23034.737,23676.821,24121.362,0.838764501,0.001,0.371019604,0.003,1.017847628,0.001,3.203051826,0.001,1.91109294,0.001
56,JTT+F+I+G4,11256.604,23037.209,23687.265,24127.997,0.627323075,0.001,0.360440321,0.001,1.019219624,0.001,0.996887564,0.001,0.643279876,0.001
57,JTTDCMut+F+G4,11263.138,23048.275,23690.360,24134.900,0.91056986,0.001,0.614637563,0.001,1.003204989,0.001,0.544607085,0.001,1.490627088,0.001
58,JTT+F+R3,11256.105,23040.210,23706.496,24139.326,0.78978432,0.001,0.260362275,0.004,1.007051252,0.001,1.95543701,0.001,1.001494522,0.001
59,JTTDCMut+F+I+G4,11263.413,23050.826,23700.883,24141.615,0.80562304,0.001,0.480250966,0.001,1.018875996,0.001,1.671443455,0.001,1.494928548,0.001
60,JTT+F+R4,11254.228,23040.455,23723.359,24147.897,0.630682689,0.001,0.329504094,0.001,1.012766962,0.001,0.233328032,0.001,0.350172543,0.001
61,JTTDCMut+F+R3,11263.052,23054.104,23720.390,24153.219,0.834436611,0.001,0.573041378,0.001,1.012535182,0.001,0.28801149,0.001,0.781817761,0.001
62,JTTDCMut+F+R4,11261.158,23054.316,23737.219,24161.757,0.771911623,0.001,0.548439619,0.001,1.001998364,0.001,0.172297514,0.001,0.960415142,0.001
63,WAG+G4,11337.222,23158.443,23665.392,24165.965,0.744650223,0.001,0.42209089,0.001,1.007982418,0.001,0.720309831,0.001,0.704602288,0.001
64,WAG+I+G4,11337.330,23160.660,23674.011,24172.345,0.581300933,0.001,0.320247642,0.001,1.045588587,0.001,0.238029293,0.001,0.449606069,0.001
65,JTT+F+R2,11282.019,23088.038,23738.094,24178.826,0.765643078,0.001,0.536693782,0.001,1.017845723,0.001,0.226372959,0.001,1.074256203,0.001
66,WAG+R3,11337.135,23164.271,23690.646,24184.283,0.692130473,0.001,0.242214482,0.002,1.010225547,0.001,0.520918884,0.001,0.396789691,0.001
67,JTTDCMut+F+R2,11288.816,23101.632,23751.689,24192.421,0.711562811,0.001,0.316914745,0.001,1.019405863,0.001,0.60860654,0.001,0.45904294,0.001
68,WAG+R4,11335.727,23165.453,23705.154,24193.792,0.338206201,0.001,0.192660894,0.01,1.048324726,0.001,0.562147354,0.001,0.355927511,0.001
69,WAG+R2,11364.091,23214.182,23727.532,24225.867,0.770647007,0.001,0.62846628,0.001,1.021485053,0.001,0.460527031,0.001,0.79324612,0.001
70,VT+I,11371.069,23226.138,23733.086,24233.660,0.838636906,0.001,0.65379204,0.001,1.002198383,0.001,0.540324584,0.001,1.962237988,0.001
71,PMB+F,11321.080,23162.160,23796.365,24244.621,0.467059674,0.001,0.197166393,0.005,1.030214188,0.001,0.114891216,0.001,0.338868845,0.001
72,cpREV+F+G4,11334.731,23191.462,23833.546,24278.087,0.734614648,0.001,0.421301119,0.001,1.0132263,0.001,0.340416577,0.001,0.822884873,0.001
73,cpREV+F+I+G4,11334.541,23193.082,23843.138,24283.870,0.693408188,0.001,0.474954703,0.001,1.018063186,0.001,0.191967383,0.001,0.488522846,0.001
74,cpREV+F+R3,11333.553,23195.107,23861.392,24294.222,0.447470928,0.001,0.394812365,0.001,1.009114208,0.001,0.356687247,0.001,0.570624277,0.001
75,cpREV+F+R4,11331.212,23194.425,23877.329,24301.867,0.702006595,0.001,0.576203514,0.001,1.005583426,0.001,0.152860868,0.001,0.716784407,0.001
