no,Model,lnL,AIC,AICc,BIC,Cmean,pC,I,pI,Lambda,pL,K,pK,Kstar,pKs
30,WAG+F+G4,9777.204,20080.408,20705.922,21181.381,0.711030056,0.001,0.388255596,0.001,1.008789716,0.001,1.780167871,0.001,0.880960165,0.001
31,WAG+F+R5,9756.280,20052.560,20733.211,21182.836,0.798950479,0.001,0.41685395,0.001,1.001632529,0.001,0.187949648,0.001,0.877190991,0.001
32,WAG+F+R3,9771.372,20074.744,20723.347,21188.276,0.854729265,0.001,0.266770315,0.004,1.004288152,0.001,8.346908933,0.001,3.073417793,0.001
33,VT+R2,9837.648,20165.296,20667.546,21190.918,0.877266886,0.001,0.557078996,0.001,1.027693554,0.001,0.306965004,0.001,1.381120761,0.001
34,cpREV+F+R4,9767.397,20070.793,20735.236,21192.697,0.498063425,0.001,0.300271352,0.001,1.012793648,0.001,0.275986734,0.001,0.416146637,0.001
35,cpREV+F+G4,9783.771,20093.543,20719.056,21194.515,0.779951206,0.001,0.291201514,0.002,1.005172262,0.001,0.873508351,0.001,0.86867218,0.001
36,cpREV+F+R5,9762.436,20064.871,20745.523,21195.148,0.865211788,0.001,0.298389898,0.002,1.024099858,0.001,4.074792967,0.001,1.825459672,0.001
37,cpREV+F+R3,9777.211,20086.421,20735.024,21199.953,0.763350537,0.001,0.425635194,0.001,1.015032763,0.001,0.315335174,0.001,0.784787174,0.001
38,PMB+R4,9845.952,20189.904,20717.446,21232.270,0.701801958,0.001,0.343662004,0.001,1.006033264,0.001,0.701024231,0.001,0.657281248,0.001
39,cpREV+R2,9859.285,20208.571,20710.821,21234.192,0.798046613,0.001,0.463233791,0.001,1.005783535,0.001,0.546223672,0.001,0.90266664,0.001
40,PMB+R5,9842.355,20186.709,20727.324,21237.447,0.806516715,0.001,0.515766991,0.001,1.003847358,0.001,0.339908564,0.001,0.918633474,0.001
41,PMB+G4,9864.244,20216.488,20712.588,21237.923,0.452949886,0.001,0.352347622,0.001,1.010432273,0.001,0.157281799,0.001,0.346267737,0.001
42,PMB+I+G4,9861.309,20212.619,20714.869,21238.240,0.488809963,0.001,0.301650991,0.001,1.000006198,0.001,0.390777254,0.001,0.329262581,0.001
43,PMB+R3,9855.724,20205.448,20720.204,21239.442,0.850379991,0.001,0.422791487,0.001,1.005505235,0.001,1.16480281,0.001,1.257093937,0.001
44,Blosum62+R4,9850.952,20199.904,20727.447,21242.270,0.76332744,0.001,0.359940504,0.001,1.000008652,0.001,0.889171209,0.001,0.701447225,0.001
45,Blosum62+R5,9847.210,20196.419,20737.035,21247.158,0.660034759,0.001,0.356892211,0.001,1.001191496,0.001,0.11001459,0.001,0.508481032,0.001
46,Blosum62+G4,9869.307,20226.614,20722.714,21248.049,0.711840182,0.001,0.470780181,0.001,1.006527201,0.001,0.133880496,0.001,0.615355917,0.001
47,Blosum62+I+G4,9866.378,20222.756,20725.006,21248.377,0.526811533,0.001,0.277705319,0.001,1.006980773,0.001,0.368701301,0.001,0.319074508,0.001
48,Blosum62+R3,9861.116,20216.231,20730.988,21250.225,0.747511206,0.001,0.211095733,0.004,1.001241908,0.001,2.70587849,0.001,1.08644951,0.001
49,JTTDCMut+F+I+G4,9812.068,20152.135,20785.257,21257.294,0.894636388,0.001,0.606468288,0.001,0.999989361,0.001,1.087792894,0.001,1.518846437,0.001
50,JTTDCMut+F+R4,9800.423,20136.845,20801.288,21258.749,0.789917404,0.001,0.396234962,0.001,1.00189546,0.001,1.502749806,0.001,0.95476535,0.001
51,JTTDCMut+F+R3,9809.529,20151.058,20799.661,21264.59,0.763294777,0.001,0.367487603,0.002,1.001924955,0.001,1.827662418,0.001,1.316888379,0.001
52,JTTDCMut+F+G4,9820.435,20166.870,20792.384,21267.843,0.889850997,0.001,0.581425597,0.001,1.006522365,0.001,1.341589245,0.001,1.576566192,0.001
53,JTT+F+I+G4,9819.787,20167.574,20800.696,21272.733,0.799334544,0.001,0.529461686,0.001,1.006454779,0.001,0.628689093,0.001,1.059721857,0.001
54,JTT+F+R4,9808.063,20152.127,20816.569,21274.031,0.879281232,0.001,0.326432685,0.001,1.001950205,0.001,2.786656736,0.001,1.553450929,0.001
55,WAG+F+R2,9821.323,20170.645,20803.768,21275.804,0.851505425,0.001,0.640134301,0.001,1.000007906,0.001,0.594035353,0.001,1.756691719,0.001
56,JTT+F+R3,9817.187,20166.375,20814.978,21279.906,0.856733407,0.001,0.234984417,0.008,1.015497537,0.001,5.249918778,0.001,2.316875197,0.001
57,JTT+F+G4,9828.290,20182.580,20808.094,21283.553,0.815522311,0.001,0.389772595,0.001,1.000002789,0.001,2.704078531,0.001,1.267292758,0.001
58,Dayhoff+I+G4,9886.058,20262.117,20764.367,21287.738,0.802732145,0.001,0.527852391,0.001,1.000009086,0.001,0.211047306,0.001,0.922695141,0.001
59,DCMut+I+G4,9886.595,20263.190,20765.440,21288.811,0.676369189,0.001,0.27563154,0.003,1.000009421,0.001,3.619248099,0.001,1.475050964,0.001
60,VT+F+R4,9819.730,20175.460,20839.902,21297.364,0.719680288,0.001,0.495369509,0.001,1.000024366,0.001,0.322596443,0.001,0.703135586,0.001
61,VT+F+I+G4,9832.500,20193.000,20826.122,21298.159,0.594971922,0.001,0.286952966,0.001,1.016101253,0.001,0.084346663,0.001,0.355713549,0.001
62,VT+F+R5,9815.380,20170.760,20851.411,21301.036,0.785154054,0.001,0.445787799,0.001,1.003155431,0.001,0.840904327,0.001,1.288553634,0.001
63,VT+F+G4,9837.349,20200.698,20826.211,21301.671,0.776754118,0.001,0.466808682,0.001,1.000020872,0.001,0.307386971,0.001,1.137413771,0.001
64,Dayhoff+R5,9875.327,20252.653,20793.268,21303.391,0.665976606,0.001,0.438969648,0.001,0.999994642,0.001,0.094856963,0.001,0.491557254,0.001
65,VT+F+R3,9829.104,20190.209,20838.811,21303.740,0.60602125,0.001,0.264120377,0.002,1.003541588,0.001,0.155087309,0.001,0.421332816,0.001
66,Dayhoff+R4,9882.029,20262.057,20789.600,21304.423,0.669867403,0.001,0.517424867,0.001,1.01356979,0.001,0.185939833,0.001,0.49691387,0.001
67,DCMut+R4,9882.553,20263.105,20790.647,21305.471,0.747080291,0.001,0.403341561,0.001,1.003499559,0.001,0.351791544,0.001,0.755968864,0.001
68,Dayhoff+G4,9898.689,20285.378,20781.478,21306.813,0.874825687,0.001,0.619208294,0.001,1.001506022,0.001,1.083041233,0.001,1.710207947,0.001
69,DCMut+G4,9899.238,20286.476,20782.576,21307.911,0.831093818,0.001,0.479836911,0.001,1.001157601,0.001,0.999160265,0.001,0.991037526,0.001
70,Dayhoff+R3,9893.342,20280.684,20795.440,21314.677,0.711538999,0.001,0.376359601,0.001,1.005420594,0.001,0.523887443,0.001,0.738565649,0.001
71,DCMut+R3,9893.803,20281.605,20796.362,21315.599,0.779784548,0.001,0.256323835,0.004,1.002988481,0.001,2.713459234,0.001,1.102641558,0.001
72,PMB+R2,9901.415,20292.830,20795.080,21318.451,0.747373441,0.001,0.487852496,0.001,1.000023342,0.001,0.230440437,0.001,0.72982531,0.001
73,cpREV+F+R2,9843.244,20214.488,20847.610,21319.647,0.65005657,0.001,0.344543397,0.001,1.012281108,0.001,0.159239767,0.001,0.425253444,0.001
74,Blosum62+R2,9907.456,20304.913,20807.163,21330.534,0.775284363,0.001,0.418716306,0.001,1.001632523,0.001,0.427483694,0.001,1.004466443,0.001
75,JTTDCMut+F+R2,9864.194,20256.387,20889.509,21361.546,0.92374128,0.001,0.462633704,0.001,0.999995841,0.001,4.463856629,0.001,2.914214072,0.001
76,JTT+F+R2,9871.938,20271.875,20904.997,21377.034,0.806889231,0.001,0.533908687,0.001,1.013932876,0.001,0.279718286,0.001,0.967673095,0.001
77,VT+F+R2,9877.642,20283.285,20916.407,21388.444,0.776847727,0.001,0.278963596,0.001,1.006166024,0.001,1.569276659,0.001,0.969466032,0.001
78,Blosum62+F+R4,9883.766,20303.532,20967.974,21425.436,0.640475608,0.001,0.30996907,0.001,1.002485935,0.001,0.638293725,0.001,0.601634985,0.001
79,Dayhoff+R2,9956.596,20403.192,20905.442,21428.813,0.718532174,0.001,0.512629232,0.001,1.008972328,0.001,1.144702987,0.001,1.309478517,0.001
80,Blosum62+F+I+G4,9898.138,20324.277,20957.399,21429.436,0.778322361,0.001,0.209197312,0.007,0.999988573,0.001,1.459303945,0.001,0.966227191,0.001
81,DCMut+R2,9956.929,20403.857,20906.107,21429.478,0.777775253,0.001,0.366489878,0.001,1.000008814,0.001,2.748113351,0.001,1.504053143,0.001
82,Blosum62+F+R5,9879.832,20299.665,20980.316,21429.941,0.755909503,0.001,0.294860845,0.002,1.006705876,0.001,0.426151216,0.001,0.837809306,0.001
83,Blosum62+F+G4,9902.169,20330.337,20955.851,21431.310,0.657920616,0.001,0.362029662,0.001,1.022211752,0.001,0.162876852,0.001,0.651495961,0.001
84,PMB+F+R4,9886.933,20309.867,20974.309,21431.771,0.699138985,0.001,0.432527943,0.001,1.015353621,0.001,0.282832203,0.001,0.650104107,0.001
85,Blosum62+F+R3,9893.750,20319.501,20968.103,21433.032,0.719063909,0.001,0.327485256,0.001,1.042988478,0.001,1.943791721,0.001,1.177008519,0.001
86,PMB+F+R5,9883.020,20306.040,20986.691,21436.316,0.731104762,0.001,0.354589487,0.001,1.00521584,0.001,0.10620872,0.001,0.497296696,0.001
87,PMB+F+I+G4,9902.618,20333.237,20966.359,21438.396,0.914039755,0.001,0.556073067,0.001,1.013642714,0.001,1.943445004,0.001,1.992899982,0.001
88,PMB+F+R3,9897.009,20326.018,20974.620,21439.549,0.679334863,0.001,0.30049283,0.001,1.003072748,0.001,0.140204933,0.001,0.393651428,0.001
89,PMB+F+G4,9906.300,20338.599,20964.113,21439.572,0.781484622,0.001,0.200029606,0.021,1.00624264,0.001,6.33716758,0.001,1.991732709,0.001
90,Dayhoff+F+I+G4,9908.009,20344.018,20977.140,21449.177,0.601208559,0.001,0.241591996,0.004,1.001103997,0.001,0.847078606,0.001,0.521722814,0.001
91,DCMut+F+I+G4,9908.551,20345.102,20978.224,21450.261,0.852444752,0.001,0.486625592,0.001,1.007966957,0.001,0.276766244,0.001,1.039708018,0.001
92,Dayhoff+F+R4,9902.391,20340.782,21005.225,21462.686,0.84778103,0.001,0.550748542,0.001,1.000014725,0.001,0.35723366,0.001,1.18809202,0.001
93,DCMut+F+R4,9902.874,20341.749,21006.191,21463.653,0.912567732,0.001,0.669590801,0.001,1.014697182,0.001,0.487347868,0.001,2.289421994,0.001
94,Dayhoff+F+G4,9918.622,20363.244,20988.757,21464.217,0.900234179,0.001,0.447188264,0.001,1.015546772,0.001,3.338349342,0.001,2.159191091,0.001
95,DCMut+F+G4,9919.113,20364.227,20989.740,21465.200,0.87487891,0.001,0.37563624,0.002,1.002937823,0.001,3.957179875,0.001,1.913944594,0.001
96,Dayhoff+F+R3,9914.392,20360.785,21009.388,21474.316,0.80795418,0.001,0.344389991,0.001,1.000025912,0.001,0.959019716,0.001,0.937267669,0.001
97,DCMut+F+R3,9914.854,20361.707,21010.310,21475.239,0.570123771,0.001,0.369232682,0.001,1.000019239,0.001,0.802243145,0.001,0.526079009,0.001
98,WAG+I,9999.631,20487.263,20983.362,21508.698,0.845904344,0.001,0.528254054,0.001,1.01415836,0.001,0.501072168,0.001,1.200661259,0.001
99,Blosum62+F+R2,9941.098,20410.196,21043.318,21515.355,0.796423072,0.001,0.505259148,0.001,1.007240203,0.001,0.479090162,0.001,0.929452061,0.001
100,PMB+F+R2,9944.781,20417.563,21050.685,21522.722,0.88778836,0.001,0.475988749,0.001,1.004783474,0.001,5.152408846,0.001,2.772929899,0.001
101,Dayhoff+F+R2,9976.743,20481.485,21114.608,21586.645,0.796413861,0.001,0.209649024,0.009,1.000003733,0.001,3.103480619,0.001,1.185755008,0.001
102,DCMut+F+R2,9977.092,20482.185,21115.307,21587.344,0.86717315,0.001,0.297844914,0.001,1.004609707,0.001,4.79390748,0.001,1.961191031,0.001
103,JTTDCMut+I,10043.732,20575.464,21071.563,21596.899,0.706329558,0.001,0.284479701,0.002,1.00386659,0.001,1.929238127,0.001,0.897537007,0.001
104,JTT+I,10050.332,20588.663,21084.763,21610.098,0.696514815,0.001,0.229542319,0.001,1.012259069,0.001,0.18725631,0.001,0.45265739,0.001
105,VT+I,10060.469,20608.938,21105.037,21630.372,0.494545971,0.001,0.25905097,0.003,1.004114106,0.001,0.17143456,0.001,0.484052831,0.001
106,cpREV+I,10083.526,20655.053,21151.152,21676.487,0.832751498,0.001,0.453622069,0.001,1.012235141,0.001,1.83579889,0.001,1.771197022,0.001
107,WAG+F+I,10031.874,20589.749,21215.262,21690.722,0.588466883,0.001,0.330759734,0.001,1.007126506,0.001,0.735233012,0.001,0.515488381,0.001
108,cpREV+F+I,10052.403,20630.806,21256.320,21731.779,0.886633052,0.001,0.504145743,0.001,1.027064271,0.001,1.758798116,0.001,1.545608673,0.001
109,PMB+I,10129.516,20747.032,21243.131,21768.467,0.49416884,0.001,0.214138255,0.002,1.000023324,0.001,0.135368833,0.001,0.260398323,0.001
110,Blosum62+I,10135.701,20759.401,21255.501,21780.836,0.648292906,0.001,0.39988338,0.001,1.014342355,0.001,0.159043126,0.001,0.614613403,0.001
111,JTTDCMut+F+I,10087.162,20700.324,21325.838,21801.297,0.729419949,0.001,0.491682262,0.001,1.010159534,0.001,0.172944623,0.001,0.792633368,0.001
112,VT+F+I,10093.802,20713.604,21339.117,21814.577,0.656867584,0.001,0.379958274,0.001,1.004630037,0.001,0.122963689,0.001,0.53762104,0.001
113,JTT+F+I,10095.022,20716.044,21341.557,21817.017,0.858001171,0.001,0.501949237,0.001,1.008150567,0.001,1.149836077,0.001,1.217856817,0.001
114,Dayhoff+I,10185.631,20859.262,21355.362,21880.697,0.759866302,0.001,0.452354737,0.001,1.012303804,0.001,0.236195404,0.001,0.696427459,0.001
115,DCMut+I,10185.854,20859.708,21355.807,21881.143,0.837958048,0.001,0.299091602,0.003,1.007617561,0.001,9.445697283,0.001,3.188770744,0.001
116,Blosum62+F+I,10160.736,20847.473,21472.986,21948.446,0.79414192,0.001,0.50409356,0.001,1.006945462,0.001,0.812874861,0.001,1.112717189,0.001
117,PMB+F+I,10165.107,20856.214,21481.728,21957.187,0.794569879,0.001,0.369481686,0.001,1.000004845,0.001,2.044146518,0.001,1.105089513,0.001
118,Dayhoff+F+I,10202.36,20930.72,21556.233,22031.693,0.795848865,0.001,0.298918269,0.001,1.015216934,0.001,2.346958364,0.001,1.16524879,0.001
119,DCMut+F+I,10202.552,20931.103,21556.617,22032.076,0.775549687,0.001,0.275121034,0.003,1.00295489,0.001,1.227301165,0.001,0.838326314,0.001
120,WAG,10390.861,21267.723,21757.739,22284.972,0.739586125,0.001,0.514573482,0.001,1.00782392,0.001,0.398499401,0.001,0.73824304,0.001
121,VT,10442.176,21370.352,21860.369,22387.601,0.718641253,0.001,0.286515604,0.002,1.004729386,0.001,1.267249954,0.001,0.679159357,0.001
122,JTTDCMut,10452.067,21390.135,21880.151,22407.383,0.765833984,0.001,0.56246048,0.001,1.008735484,0.001,0.303166961,0.001,0.967955243,0.001
123,JTT,10459.269,21404.539,21894.555,22421.787,0.847703433,0.001,0.310906441,0.001,1.007848083,0.001,3.318899506,0.001,1.742718793,0.001
124,cpREV,10468.787,21423.574,21913.591,22440.823,0.764676337,0.001,0.515280319,0.001,1.00365941,0.001,0.971843739,0.001,1.106533898,0.001
125,WAG+F,10416.98,21357.96,21975.951,22454.747,0.709673841,0.001,0.508886468,0.001,1.000022267,0.001,0.190525826,0.001,0.680142824,0.001
126,PMB,10481.938,21449.877,21939.893,22467.125,0.727596988,0.001,0.461620109,0.001,1.000005164,0.001,0.234262342,0.001,0.797795113,0.001
127,Blosum62,10488.2,21462.4,21952.416,22479.648,0.730997549,0.001,0.278951771,0.001,1.000004761,0.001,0.544481856,0.001,0.792631287,0.001
128,cpREV+F,10457.039,21438.078,22056.069,22534.865,0.596008162,0.001,0.267523961,0.001,1.007254136,0.001,1.254679941,0.001,0.631487711,0.001
129,VT+F,10475.139,21474.278,22092.269,22571.065,0.589190737,0.001,0.471632119,0.001,1.02019045,0.001,0.087231209,0.001,0.3481736,0.001
130,JTTDCMut+F,10494.99,21513.98,22131.971,22610.767,0.751274792,0.001,0.446441893,0.001,1.011794258,0.001,0.904470908,0.001,0.731322238,0.001
131,JTT+F,10503.852,21531.704,22149.695,22628.491,0.848877504,0.001,0.394495349,0.001,1.003630334,0.001,2.081393376,0.001,1.658364685,0.001
132,Blosum62+F,10524.177,21572.355,22190.346,22669.141,0.863295423,0.001,0.489484234,0.001,0.999994865,0.001,0.785817791,0.001,1.523703974,0.001
133,PMB+F,10525.523,21575.046,22193.037,22671.832,0.806243148,0.001,0.520489553,0.001,1.000025831,0.001,0.541067759,0.001,1.42366761,0.001
134,DCMut,10628.545,21743.089,22233.106,22760.338,0.56598363,0.001,0.323890666,0.001,1.002785077,0.001,0.662786877,0.001,0.477406098,0.001
135,Dayhoff,10628.629,21743.259,22233.275,22760.507,0.800608544,0.001,0.332504843,0.001,1.012445259,0.001,3.90340979,0.001,1.480179083,0.001
136,DCMut+F,10631.316,21786.633,22404.624,22883.42,0.776784631,0.001,0.488229786,0.001,1.01475311,0.001,1.246836422,0.001,0.859349802,0.001
137,Poisson+F+I+G4,10844.464,22216.928,22850.051,23322.088,0.783869738,0.001,0.495062864,0.001,1.000036629,0.001,0.603765695,0.001,0.760945062,0.001
138,Poisson+F+G4,10848.891,22223.782,22849.295,23324.755,0.758229147,0.001,0.600778673,0.001,0.999984651,0.001,0.460111417,0.001,0.588985596,0.001
139,Poisson+F+R4,10834.112,22204.224,22868.666,23326.128,0.710984561,0.001,0.50329875,0.001,1.000009637,0.001,0.148321532,0.001,0.610715355,0.001
140,Poisson+F+R5,10829.796,22199.591,22880.243,23329.868,0.779207262,0.001,0.421599744,0.001,1.001663053,0.001,0.220142696,0.001,0.710593092,0.001
141,Poisson+F+R3,10843.509,22219.018,22867.621,23332.55,0.872858172,0.001,0.462743688,0.001,1.002836737,0.001,1.504327109,0.001,1.394205684,0.001
142,Poisson+I+G4,10949.179,22388.358,22890.608,23413.979,0.69385226,0.001,0.522264929,0.001,1.006670895,0.001,0.102434305,0.001,0.507702424,0.001
143,Poisson+F+R2,10890.597,22309.193,22942.315,23414.352,0.935556784,0.001,0.47140755,0.001,1.005522783,0.001,9.828031292,0.001,5.794404015,0.001
144,Poisson+G4,10953.318,22394.635,22890.735,23416.07,0.769102292,0.001,0.366624928,0.001,1.003899745,0.001,1.030258912,0.001,0.960668871,0.001
145,Poisson+R4,10939.23,22376.459,22904.002,23418.825,0.806792515,0.001,0.463936853,0.001,1.037275583,0.001,0.189090257,0.001,0.867799598,0.001
146,Poisson+R3,10947.987,22389.974,22904.73,23423.967,0.794373028,0.001,0.379880504,0.001,1.009953741,0.001,0.901238977,0.001,0.915319804,0.001
147,Poisson+R2,10993.719,22477.439,22979.689,23503.06,0.889284777,0.001,0.563815428,0.001,0.999996532,0.001,1.232609835,0.001,1.659631931,0.001
148,Poisson+F+I,11130.307,22786.615,23412.128,23887.588,0.653118499,0.001,0.318730606,0.001,1.000027444,0.001,0.441986509,0.001,0.695232403,0.001
149,Poisson+I,11228.474,22944.948,23441.047,23966.383,0.794475413,0.001,0.282875633,0.001,1.026889198,0.001,1.253301184,0.001,0.969562872,0.001
150,Poisson+F,11526.689,23577.379,24195.37,24674.165,0.76277584,0.001,0.509069742,0.001,1.015883421,0.001,0.196875902,0.001,0.802161516,0.001
151,Poisson,11623.805,23733.61,24223.627,24750.859,0.712013874,0.001,0.45969429,0.001,1.000017575,0.001,0.248042133,0.001,0.918674018,0.001
152,Dayhoff+F,13497.319,27530.638,28177.203,28655.831,0.691585349,0.001,0.321017109,0.001,1.013561402,0.001,1.091380791,0.001,0.655775747,0.001
